T	V	I_na	I_CaL	I_CaT	I_t	I_ss	I_f	I_k1	I_b	I_NaK	I_NCX	I_CaP	I_stim	I_f_K	I_f_Na	I_b_Na	I_b_Ca	I_b_K
0.87	-75.4349	-6.24628e-06	-8.65103e-06	-0.0269941	0.000271728	2.07176e-05	-3.29844e-05	0.0184231	-0.00495264	0.0174332	-0.00473112	0.000668562	0	8.45559e-06	-4.144e-05	-0.00376673	-0.0015167	0.000330789
0.88	-75.4626	-6.19953e-06	-8.60498e-06	-0.0269005	0.00027007	2.05747e-05	-3.29873e-05	0.0183494	-0.00495502	0.0174245	-0.00473888	0.000668638	0	8.41336e-06	-4.14007e-05	-0.00376755	-0.001517	0.00032952
0.89	-75.4901	-6.15341e-06	-8.55939e-06	-0.0268071	0.000268427	2.04333e-05	-3.29905e-05	0.018276	-0.00495739	0.0174159	-0.0047466	0.000668713	0	8.3715e-06	-4.1362e-05	-0.00376835	-0.00151729	0.000328258
0.9	-75.5175	-6.10792e-06	-8.51426e-06	-0.026714	0.000266797	2.02934e-05	-3.29939e-05	0.0182027	-0.00495975	0.0174073	-0.00475429	0.000668788	0	8.33001e-06	-4.13239e-05	-0.00376916	-0.00151759	0.000327001
0.91	-75.5448	-6.06302e-06	-8.46957e-06	-0.0266212	0.000265181	2.01549e-05	-3.29976e-05	0.0181297	-0.00496209	0.0173987	-0.00476196	0.000668862	0	8.28887e-06	-4.12865e-05	-0.00376996	-0.00151788	0.000325751
0.92	-75.5719	-6.01871e-06	-8.42532e-06	-0.0265286	0.000263578	2.00179e-05	-3.30015e-05	0.0180567	-0.00496443	0.0173902	-0.00476958	0.000668936	0	8.24808e-06	-4.12496e-05	-0.00377076	-0.00151818	0.000324506
0.93	-75.599	-5.97497e-06	-8.38151e-06	-0.0264362	0.000261989	1.98823e-05	-3.30057e-05	0.017984	-0.00496675	0.0173817	-0.00477718	0.000669009	0	8.20765e-06	-4.12134e-05	-0.00377155	-0.00151847	0.000323267
0.94	-75.6259	-5.93178e-06	-8.33814e-06	-0.0263442	0.000260413	1.97482e-05	-3.30102e-05	0.0179114	-0.00496907	0.0173732	-0.00478475	0.000669082	0	8.16756e-06	-4.11778e-05	-0.00377234	-0.00151876	0.000322035
0.95	-75.6526	-5.88913e-06	-8.29518e-06	-0.0262524	0.00025885	1.96154e-05	-3.30149e-05	0.017839	-0.00497137	0.0173648	-0.00479228	0.000669154	0	8.12782e-06	-4.11427e-05	-0.00377313	-0.00151905	0.000320807
0.96	-75.6793	-5.84701e-06	-8.25265e-06	-0.0261608	0.000257301	1.9484e-05	-3.30199e-05	0.0177667	-0.00497367	0.0173564	-0.00479978	0.000669226	0	8.08842e-06	-4.11083e-05	-0.00377392	-0.00151934	0.000319586
